0.805132 0.00870414 0.720922
0.813025 0.00824624 0.72637
0.820919 0.0077933 0.731772
0.828812 0.00734559 0.737129
0.836706 0.00690334 0.74244
0.844599 0.00646682 0.747705
0.852492 0.00603628 0.752923
0.860386 0.00561197 0.758094
0.868279 0.00519413 0.763218
0.876173 0.00478302 0.768295
0.884066 0.0043789 0.773323
0.89196 0.00398201 0.778304
0.899853 0.0035926 0.783236
0.907747 0.00321094 0.788119
0.91564 0.00283728 0.792953
0.923534 0.00247187 0.797737
0.931427 0.00211497 0.802472
0.93932 0.00176685 0.807157
0.947214 0.00142776 0.811792
0.955107 0.00109798 0.816376
0.963001 0.000777765 0.820909
0.970894 0.00046739 0.825391
0.978788 0.000167125 0.829821
0.986681 -0.000122755 0.8342
0.994575 -0.000401972 0.838527
1.00247 -0.000670247 0.842802
1.01036 -0.000927298 0.847024
1.01825 -0.00117284 0.851193
1.02615 -0.00140658 0.85531
1.03404 -0.00162824 0.859373
1.04194 -0.00183752 0.863382
1.04983 -0.00203413 0.867338
1.05772 -0.00221776 0.87124
1.06562 -0.00238812 0.875087
1.07351 -0.00254492 0.87888
1.0814 -0.00268784 0.882618
1.0893 -0.00281658 0.886301
1.09719 -0.00293083 0.889929
1.10508 -0.0030303 0.893501
1.11298 -0.00311467 0.897018
1.12087 -0.00318363 0.900479
1.12876 -0.00323688 0.903884
1.13666 -0.0032741 0.907232
1.14455 -0.00329499 0.910524
1.15244 -0.00329925 0.913759
1.16034 -0.00328656 0.916938
1.16823 -0.00325662 0.920059
1.17612 -0.00320913 0.923123
1.18402 -0.00314379 0.926129
1.19191 -0.0030603 0.929077
1.1998 -0.00295838 0.931968
1.2077 -0.00283772 0.934801
1.21559 -0.00269805 0.937575
1.22348 -0.00253908 0.940291
1.23138 -0.00236055 0.942948
1.23927 -0.00216218 0.945547
1.24716 -0.00194372 0.948087
1.25506 -0.0017049 0.950567
1.26295 -0.00144549 0.952989
1.27085 -0.00116524 0.955351
1.27874 -0.000863939 0.957653
1.28663 -0.000541357 0.959896
1.29453 -0.000197292 0.962079
1.30242 0.000168452 0.964202
1.31031 0.000556057 0.966265
1.31821 0.000965694 0.968268
1.3261 0.00139752 0.970211
1.33399 0.00185168 0.972093
1.34189 0.00232829 0.973914
1.34978 0.00282747 0.975675
1.35767 0.00334932 0.977375
1.36557 0.00389391 0.979014
1.37346 0.00446131 0.980592
1.38135 0.00505154 0.982109
1.38925 0.00566465 0.983565
1.39714 0.00630062 0.98496
1.40503 0.00695945 0.986293
1.41293 0.00764109 0.987565
1.42082 0.00834548 0.988775
1.42871 0.00907253 0.989923
1.43661 0.00982215 0.99101
1.4445 0.0105942 0.992035
1.45239 0.0113885 0.992999
1.46029 0.0122049 0.9939
1.46818 0.0130432 0.99474
1.47607 0.0139032 0.995517
1.48397 0.0147845 0.996233
1.49186 0.015687 0.996886
1.49976 0.0166102 0.997478
1.50765 0.017554 0.998007
1.51554 0.0185178 0.998474
1.52344 0.0195013 0.998879
1.53133 0.0205041 0.999221
1.53922 0.0215257 0.999502
1.54712 0.0225657 0.99972
1.55501 0.0236235 0.999875
1.5629 0.0246986 0.999969
1.5708 0.0257904 1
